ID,Contributor,Language_ID,Language_Name,BibTexKey,Filename,MetadataComments,PhoibleID,Dialect
33,Steven Moran,buru1296,Burushaski,Morgenstierne1945,bsk_SPA1979_phon.pdf,,6,
34,David Ginebra,cahu1264,Cahuilla,seiler1977cahuilla,,,,
35,Dmitry Nikolaev,stan1288,Castilian,"martinez2003castilian, frias2001spanish",,,,cast1244
36,NA,cent2142,Central Aymara,hardman2001aymara,hardman2001aymara.pdf,,,
37,Steven Moran,cent2050,Central Kanuri,Lukas1937,knc_SPA1979_phon.pdf,,150,
38,KurdistanDB,nort2697,Central Oghuz,schoenig1998azerbaijanian,,,,
39,KurdistanDB,lish1247,Challa Neo-Aramaic (Jewish NENA),fassberg2010challa,,,,
40,Elad Eisen,cher1273,Cherokee,montgomery2008cherokee,,,,
41,Eitan Grossman,halk1245,Chiliwack,galloway1977chilliwack,,,,chil1281
42,Eitan Grossman,chim1300,Chimalapa Zoque,jimenez2014chimalapazoque,,,,
43,Steven Moran,chiq1250,Chiquihuitlán Mazatec,PikePike1947,maq_SPA1979_phon.pdf,,99,
44,Eitan Grossman,chol1282,Chol,vasquez2011chol,,,,
45,Eitan Grossman,chol1284,Cholón,adelaar2004cholon,,,,
47,Dmitry Nikolaev,chuv1255,Chuvash,"clark1998chuvash, Kruger1961,Andreev1966",,,,
48,Eitan Grossman,coat1238,Coatlán Mixe,elson1992mixezoque,,,,
49,Einav Levanon,coco1260,Cocos Islands Malay,adelaar1996cocosmalay,,,,
50,Steven Moran,copa1236,Copainalá Zoque,Wonderly1951,zoc_SPA1979_phon.pdf,,83,
51,Eitan Grossman,copt1239,Coptic,layton2011coptic,,,,
52,NA,crow1244,Crow,graczyk2007crow,,,,
54,NA,cupe1243,Cupeño,hill2005cupeno,,,,
55,Eitan Grossman,daur1238,Dagur,tsumagari2003dagur,,,,
56,Dmitry Nikolaev,dame1241,Dameli,"bashir2007dardic, morgenstierne1942dameli",,,,
57,KurdistanDB,diml1238,Dimli,todd2003dimili,,,,
58,Einav Levanon,dera1245,Duka-Ekor,desousa2006menggwa,,,,duka1248
59,Einav Levanon,dusn1237,Dusner,dalrymple2012dusner,,,,
60,Einav Levanon,east2440,East Makian,bowden2001taba,,,,
61,Steven Moran,nucl1235,Eastern Armenian,Allen1950,hye_SPA1979_phon.pdf,,171,
62,Einav Levanon,edol1239,Eastern Edolo,gossner1998easternedolo,,,,east2495
63,Steven Moran,east2328,Eastern Mari,Ristinen1960,mhr_SPA1979_phon.pdf,,181,
64,Steven Moran,east2542,Eastern Ojibwa,Bloomfield1957,ojg_SPA1979_phon.pdf,,72,
65,Steven Moran,panj1256,Eastern Panjabi,GillGleason1963,pan_SPA1979_phon.pdf,,175,
66,Steven Moran,egyp1253,Egyptian Arabic,"Mitchell1962,Tomiche1964,Kennedy1960",arz_SPA1979_phon.pdf,,132,
67,Steven Moran,stan1293,English,"OConner1973,Gimson1962,Halle1973,Fudge1975,Trnka1968",eng_SPA1979_phon.pdf,,160,
68,Dmitry Nikolaev,esto1258,Estonian,"hebedova2013estonian, asu2009estonian",,,,
69,Steven Moran,even1260,Even,Novikova1960,eve_SPA1979_phon.pdf,,192,
70,Elad Eisen,ewee1241,Ewe,pasch1995ewe,,,,
71,Lotta Jalava,finn1318,Finnish,hakulinen2004finnish,,,,
72,Lotta Jalava,fore1274,Forest Nenets,salminen2007forestnenets,,,,
74,Einav Levanon,gant1244,Gants,daniels2015sogeram,,,,
75,Steven Moran,garo1247,Garo,Burling1961,grt_SPA1979_phon.pdf,,24,
76,KurdistanDB,gura1251,Gawraju Gorani,stilo2004vafsi,,,,gawh1238
77,NA,gayo1244,Gayo,eades2005gayo,,,,
78,Steven Moran,nucl1302,Georgian,"RobinsWaterson1952,Selmer1935,Tschenkeli1958,Vogt1938,Vogt1939,Vogt1958,Vogt1971",kat_SPA1979_phon.pdf,,5,
79,Elad Eisen,stan1295,German,wiese1996german,,,,
80,Dmitry Nikolaev,gran1245,Grangali,"bashir2007dardic, grjunberg1971grangali_zemiaki",,,,
81,Einav Levanon,gras1249,Grass Koiari,dutton2003koiari,,,,
83,Eitan Grossman,guer1243,Guerrero Amuzgo,steward2000guerreroamuzgo,,,,
86,KurdistanDB,hert1241,Hértevin Proper,jastrow1988hertevin,,,,hert1242
87,Linda Konnerth,karb1241,Hills Karbi,konnerth2014karbi,,,,
89,Eitan Grossman,hueh1236,Huehuetla Tepehua,kung2007tepehua,,,,
90,Steven Moran,hung1274,Hungarian,"Kalman1972,Banhidi_etal1965,Hall1938,Hall1944",hun_SPA1979_phon.pdf,,183,
91,Steven Moran,hupa1239,Hupa,"Golla1970,Woodward1964",hup_SPA1979_phon.pdf,,65,
92,Steven Moran,igna1246,Ignaciano,OttOtt1967,ign_SPA1979_phon.pdf,,111,
93,Steven Moran,iris1253,Irish,"Fhailigh1968,Florence1970",gle_SPA1979_phon.pdf,,156,
94,Elad Eisen,itza1241,Itzá,hofling2000itzajmaya,,,,
95,Eitan Grossman,jams1239,Jamsay Dogon,heath2008jamsay,heath2008jamsay.pdf,,,
96,Elad Eisen,nucl1643,Japanese,labrune2012japanese,,,,
97,Rammie Cahlon,jauj1238,Jauja Wanca Quechua,wroughton1996jaujaquechua,,,,
98,KurdistanDB,assy1241,Jilu,fox1997jilu,,,,jilu1238
99,Steven Moran,kaba1278,Kabardian,Kuipers1960,kbd_SPA1979_phon.pdf,,4,
100,Elad Eisen,kaby1243,Kabyle,kossmann2013kabyle,,,,
101,Eitan Grossman,kala1399,Kalaallisut,fortescue1984kalallisuut,,,,
102,Dmitry Nikolaev,kala1373,Kalam (Pakistan),"bashir2007dardic, baart1995kalam, baart1997kalam",,,,kala1374
103,Einav Levanon,kaur1271,Kaure-Narau,auri1991kaure,,,,
104,Eitan Grossman,kawa1283,Kawaiisu,zigmond1990kawaiisu,,,,
105,Chingduang Yurayong,kaza1248,Kazakh,"kirchner1998kazakhkarakalpak, mccollum2018kazakh",,,,
106,Dmitry Nikolaev,khan1273,Kazym Khanty,kaksin2007kazym_khanty,,,,nort2672
107,Steven Moran,khan1273,Kazym-Berezover-Suryskarer Khanty,"Gulya1966,Steinitz1950,Katz1975",kca_SPA1979_phon.pdf,,184,
108,Einav Levanon,kend1254,Kendayan,adelaar2005salako,,,,
109,Eitan Grossman,kham1281,Khamnigan Mongol,janhunen2003khamniganmongol,,,,
110,Eitan Grossman,sout2994,Khithaulhu,lowe1999nambiquara,,,,khit1238
111,NA,khva1239,Khwarshi-Inkhoqwari,khalilova2009khwarshi,,,,
112,KurdistanDB,nort3142,Anatolian Arabic,jastrow2006anatolianarabic,,,,
113,Einav Levanon,kipu1237,Kiput,blust2003short,,,,
114,Einav Levanon,doro1266,Koki,bradshaw2012koki,bradshaw2012koki,,,koki1244
115,Einav Levanon,kome1238,Komering,abdurrahman1979komering,,,,
116,Dmitry Nikolaev,komi1269,Komi-Permyak,majshev1940komi_permjak,,,,
117,Dmitry Nikolaev,komi1277,Komi-Yazva,lytkin1961komi_yazva,,,,
118,Dmitry Nikolaev,komi1268,Komi-Zyrian,lytkin1955komi,,,,
119,Einav Levanon,kona1242,Konai,aarsjo2016konai,,,,
120,Einav Levanon,kora1294,Korafe,farr1974korafe,,,,kora1295
122,KurdistanDB,lish1245,Koy Sanjaq Neo-Aramaic,mutzafi2004koysanjaq,,,,koys1241
123,Eitan Grossman,koyr1240,Koyra Chiini Songhay,heath1999koyrachiini,,,,
125,Rammie Cahlon,culi1244,Culina,dienst2014kulina,,,,
126,Steven Moran,kuru1302,Kurukh,"Pinnow1964,Pfeiffer1972,Grignard1924",kru_SPA1979_phon.pdf,,7,
127,Eitan Grossman,kute1249,Kutenai,morgan1991kutenai,,,,
128,Steven Moran,lahu1253,Lahu,Matisoff1973,lhu_SPA1979_phon.pdf,,23,
129,Eitan Grossman,lavu1241,Lavukaleve,terrill2011lavukaleve,,,,
130,Dmitry Nikolaev,lith1251,Lithuanian,balode2001lithuanian,,,,
131,NA,logb1245,Logba,dorvlo2008logba,,,,
132,Einav Levanon,louu1245,Lou,blust1998lou,,,,
133,Steven Moran,luok1236,Luo (Kenya and Tanzania),Gregersen1961,luo_SPA1979_phon.pdf,,153,
134,Einav Levanon,nucl1460,Madurese,davies2010madurese,,,,
135,Einav Levanon,maka1316,Makasai,correia2011makasae,,,,maka1317
136,NA,maka1316,Maklere,huber2011makalero,,,,makl1245
137,NA,mamm1241,Mam,england1983mam,,,,
138,Elad Eisen,mamb1294,Mambai,anonby2011mambay,,,,
139,NA,mana1298,Manambu,aikhenvald2010manambu,,,,
140,Einav Levanon,payn1244,Manat,daniels2015sogeram,,,,
141,KurdistanDB,nucl1706,Mandaic,haeberl2015neomandaic,,,,
142,NA,mang1381,Mangarrayi,merlan1989mangarayi,,,,
143,Eitan Grossman,mapu1245,Mapudungun,adelaar2004andes,,,,
144,Steven Moran,marg1265,Marghi Central,Hoffmann1963,mrt_SPA1979_phon.pdf,,126,
145,Einav Levanon,mauw1238,Mauwake,berghall2015mauwake,,,,
146,Einav Levanon,maib1239,Maybrat-Karon,dol2007maybrat,,,,
147,Einav Levanon,mehe1243,Mehek,hatfield2016mehek,,,,
148,Steven Moran,mezq1235,Mezquital Otomi,BlightEunice1976,ote_SPA1979_phon.pdf,,97,
149,Einav Levanon,mian1256,Mian,fedden2007mian,,,,
150,Einav Levanon,miga1241,Migabac,migabac2005mcevoy,,,,
151,KurdistanDB,mlah1239,Mlahsö,jastrow2011turoyomlahso,,,,
152,Elad Eisen,hebr1245,Modern Hebrew,schwarzwald2011modernhebrew,,,,
153,Eitan Grossman,mong1330,Mongolia Buriat,skribnik2003buryat,,,,
154,Elad Eisen,halh1238,Mongolian,svantesson2005mongolian,,,,
156,Einav Levanon,mudu1242,Muduapa,bachet2006muduapa,,,,
157,Dmitry Nikolaev,munj1244,Munji,williamson2017munji,,,,
158,NA,halk1245,Musqueam,suttles2004musqueam,,,,musq1240
159,Einav Levanon,muss1246,Mussau-Emira,brownie2007mussau,,,,
160,Einav Levanon,sout2857,Nahavaq,dimock2009nahavaq,,,,
161,Einav Levanon,naka1262,Nakanai,chowning2016nakanai,,,,
162,Steven Moran,nama1264,Nama,Beach1938,naq_SPA1979_phon.pdf,,155,nama1265
163,Steven Moran,nava1243,Navajo,SapirHoijer1967,nav_SPA1979_phon.pdf,,66,
164,Dmitry Nikolaev,naxi1245,Naxi,michailovsky2006naxi,,,,
165,Einav Levanon,ngka1235,Ngkontar Ngkolmpu,carroll2016ngkolmpu,,,,
166,Eitan Grossman,nhan1238,Nhanda,blevins2001nhanda,,,,
167,Einav Levanon,nucl1633,Nimboran,"may1997nimboran, anceaux2013nimboran",,,,
168,Dmitry Nikolaev,noga1249,Nogai,"csato1998noghay, baskakov1996noghay",,,,
169,Steven Moran,nort2697,North Azerbaijani,HouseholderLofti1965,aze_SPA1979_phon.pdf,,187,
170,Daria Zhornik,mans1258,Northern Mansi,"rombandejeva1989mansi, rombandejeva1973mansi, zhornik2019mansi",,,,
172,Eitan Grossman,bamb1262,Northern Mao (Bambassi),ahland2012bambassi,,,,
173,Steven Moran,nuuc1236,Nuu-chah-nulth,"SapirMorris1939,SapirMorris1955,Jacobsen1969",noo_SPA1979_phon.pdf,,70,
174,Eitan Grossman,ocot1243,Ocotepec Mixtec,alexander1988ocotepecmixtec,,,,
175,Eitan Grossman,copa1236,Ocotepec,faarlund2012chiapaszoque,,,,ocot1242
176,Dmitry Nikolaev,kalm1243,Oirad-Kalmyk,"blasing2003kalmyk, say2009kalmyk",,,,
177,Einav Levanon,oira1263,Oirata,faust2006oirata,,,,
178,Eitan Grossman,olut1240,Oluta Popoluca,zavala2000olutec,,,,
179,Steven Moran,paez1247,Páez,gerdel1973paez,,,102,
180,Eitan Grossman,paiw1248,Paiwan,"ferrell1982paiwan, chang2006paiwan",,,,
181,Steven Moran,para1311,Paraguayan Guaraní,"GregoresSuarez1967,Lunt1973,Uldall1956",gug_SPA1979_phon.pdf,,119,
182,Einav Levanon,pina1252,Pinai-Hagahai,melliger2003pinai,,,,
183,Eitan Grossman,pipi1250,Pipil,campbell1985pipil,,,,
184,Steven Moran,pure1242,Purepecha,Foster1969,tsz_SPA1979_phon.pdf,,87,
185,KurdistanDB,chal1275,Qaraqosh Neo-Aramaic (Christian NENA),khan2002qaraqosh,,,,
186,Eitan Grossman,quil1240,Quileute,powell1976quileute,,"originally 1974, check in pdfs?",,
187,Eitan Grossman,rama1270,Rama,grinevald1990rama,,,,
188,Einav Levanon,rian1263,Riantana,choi2015riantana,,,,
189,Steven Moran,saba1265,Sa'ban,Clayre1973,snv_SPA1979_phon.pdf,,34,
190,Chingduang Yurayong,saek1240,Saek,gedney1993saek,,,,
191,Steven Moran,yaku1245,Sakha,"Krueger1962,Bohtlingk1964",sah_SPA1979_phon.pdf,,190,
192,Elad Eisen,sanm1295,San Miguel El Grande Mixtec,macaulay1996chalcatongomixtec,,,,
193,KurdistanDB,hula1244,Sanandaj,khan2009sanandaj,,,,sana1291
194,Elad Eisen,suii1243,Sandong,wei2008sandong,,,,sand1270
195,KurdistanDB,hula1244,Saqiz,israeli1998saqiz,,,,saqi1238
196,Elad Eisen,savo1255,Savosavo,wegener2012savosavo,,,,
197,Einav Levanon,sawe1240,Saweru,donohue2002saweru,,,,
198,KurdistanDB,nort3139,Sedentary Hatay Arabic,werner2000hatay,,,,
199,Dmitry Nikolaev,shix1238,Shixing,chirkova2013xumi,,,,
200,Dmitry Nikolaev,shor1247,Shor,donidze1996shor,,,,
201,Steven Moran,sinh1246,Sinhala,CoatesSilva1960,sin_SPA1979_phon.pdf,,178,
202,Dmitry Nikolaev,skol1241,Skolt Saami,feist2010skolt_saami,,,,
203,Einav Levanon,nucl1634,Skou,donohue2004skou,,,,
204,Dmitry Nikolaev,slav1254,Slavomolisano,breu2000slavomolisano,,,,
205,Dmitry Nikolaev,sooo1254,Sô,migliazza1998so,,,,
206,NA,soch1239,Sochiapam Chinantec,foris1993sochiapamchinantec,,,,
207,Elad Eisen,kist1241,Soddo,leslau1992soddo,,,,sodd1242
208,Antti Laine,soma1255,Somali,saeed1999somali,,,,
209,Steven Moran,sout2991,South Bolivian Quechua,"Bills_etal1969,Lastra1968,Lastra1968,Parker1969",quh_SPA1979_phon.pdf,,104,
210,Steven Moran,sout2982,Southeastern Pomo,Moshinsky1974,pom_SPA1979_phon.pdf,,89,
211,Steven Moran,sout2961,Southern Tiwa,Trager1971,tix_SPA1979_phon.pdf,,92,
212,Elad Eisen,sout2750,Southern Yukaghir,maslova2003kolymayukaghir,,,,
213,NA,sril1245,Sri Lanka Malay,nordhoff2009srilankamalay,,,,
214,Steven Moran,stan1306,Standard Malay,"Verguin1967,MacdonaldSoenyono1967",zsm_SPA1979_phon.pdf,,32,
215,Einav Levanon,suab1238,Suabo,devries2004inanwatan,,,,
216,KurdistanDB,hula1244,Suleimaniya Neo-Aramaic,khan2004sulemaniyya,,,,sule1243
217,Elad Eisen,sout2808,Sumayela Ndebele,ndebele1959ziervogel,,,,
218,Dmitry Nikolaev,sumi1235,Sumi Naga,teo2012sumi,,,,
220,Steven Moran,taba1266,Tabasco Chontal,Keller1959,chf_SPA1979_phon.pdf,,85,
221,Dmitry Nikolaev,sout2697,Tabriz,mokari2017azerbaijani,,,,tabr1242
222,Elad Eisen,tafi1243,Tafi,bobuafor2013tafi,,,,
223,Elad Eisen,taga1270,Tagalog,schachter1983tagalog,,,,
224,Einav Levanon,bunu1267,Takivatan,debusser2009takivatan,,,,taki1251
225,Rammie Cahlon,tapi1253,Tapieté,gonzalez2005tapiete,,,,
226,Elad Eisen,tari1256,Tariana,aikhenvald2003tariana,,,,
227,Dmitry Nikolaev,tata1255,Tatar,comrie1997tatar,,,,
228,Dmitry Nikolaev,taus1251,Tausug,soderberg2012tausug,,,,
229,Elad Eisen,tauy1241,Tauya,macdonald2011tauya,,,,
230,Steven Moran,tele1256,Telefol,Healey1964,tlf_SPA1979_phon.pdf,,55,
231,Elad Eisen,telu1262,Telugu,"krishnamurti1985telugu, bhaskararao2017telugu",,,,
232,Einav Levanon,thao1240,Thao,blust2003thao,,,,
233,Steven Moran,ticu1245,Ticuna,"Anderson1959,Anderson1962",tca_SPA1979_phon.pdf,,115,
234,Eitan Grossman,kumi1248,Tipai,miller1990jamultipai,,,,
235,Eitan Grossman,tlac1235,Tlachichilco Tepehua,watters1988tlachichilcotepehua,,,,
236,Einav Levanon,tond1251,Tondano,brickell2014tondano,,,,
237,Eitan Grossman,toto1305,Totontepec Mixe,elson1992mixezoque,,,,
