ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,status,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
amap1240,Ama (Papua New Guinea),Papunesia,-4.20192,141.658,amap1240,amm,left1242,nucl1244,False,language,vulnerable,,,0,0,0,PG
amar1273,Amarasi,Papunesia,-10.21751,123.96373,amar1273,aaz,aust1307,uabm1238,False,language,vulnerable,,,0,0,4,ID
ambo1250,Ambonese Malay,Papunesia,-3.71342,128.184,ambo1250,abs,aust1307,ambo1253,False,language,safe,,,0,0,1,ID
amdo1237,Amdo Tibetan,Eurasia,34.5177,100.485,amdo1237,adx,sino1245,tibe1276,False,language,safe,,,0,0,4,CN
amer1254,American Spanish,Eurasia,,,amer1254,,indo1319,stan1288,False,dialect,safe,,,0,0,0,
amha1245,Amharic,Africa,11.708182,39.543456,amha1245,amh,afro1255,amha1244,False,language,safe,,,0,0,0,DJ ET
anda1280,Andaman Creole Hindi,Eurasia,11.676,92.738,anda1280,hca,indo1319,hind1270,False,language,safe,,,0,0,0,IN
anem1249,Anem,Papunesia,-5.54836,148.993,anem1249,anz,,,False,language,definitely endangered,,,0,0,0,PG
anin1240,Anindilyakwa,Australia,-13.99904,136.6415,anin1240,aoi,gunw1250,wubu1239,False,language,definitely endangered,,,0,0,0,AU
apal1257,Apalaí,South America,1.49792,-54.7457,apal1257,apy,cari1283,cari1283,False,language,definitely endangered,,,0,0,0,BR
apin1244,Apinayé,South America,-6.10774,-47.6315,apin1244,apn,nucl1710,core1264,False,language,definitely endangered,,,0,0,0,BR
apma1240,Apma,Papunesia,-15.8559,168.189,apma1240,app,aust1307,sout3188,False,language,safe,,,0,0,5,VU
arab1267,Arabana,Australia,-28.705,135.449,arab1267,ard,pama1250,arab1266,False,language,extinct,,,0,0,0,AU
aral1243,Aralle-Tabulahan,Papunesia,-2.78397,119.319,aral1243,atq,aust1307,mata1312,False,language,safe,,,0,0,3,ID
arbo1245,Arbore,Africa,4.92183,36.7986,arbo1245,arv,afro1255,west2723,False,language,definitely endangered,,,0,0,0,ET
arch1244,Archi,Eurasia,42.3239,46.8267,arch1244,aqc,nakh1245,lezg1248,False,language,definitely endangered,,,0,0,0,RU
argo1244,Argobba,Africa,10.6596,39.756,argo1244,agj,afro1255,amha1244,False,language,vulnerable,,,0,0,0,ET
ashe1272,Ashéninka Perené,South America,-10.9777,-74.9153,ashe1272,prq,araw1281,ashe1271,False,language,vulnerable,,,0,0,0,PE
