ID,Name,Description
9520632C5C6A9154D2A5142D6BA024CE,bˤ,LATIN SMALL LETTER B - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
B8654231A8D23801B38D10EE554ACBD5,ʁ,LATIN LETTER SMALL CAPITAL INVERTED R
5A838FF4DABE1950734CFAFAB9383903,k,LATIN SMALL LETTER K
C8E200405D83F3D806F98BC041341BA0,ɛ̃ː,LATIN SMALL LETTER OPEN E - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON
17B1CFA69C0C6AB5362FFDB585C0C7DC,dz,LATIN SMALL LETTER D - LATIN SMALL LETTER Z
1214D761CC44F5F017FD63EA26B45B4B,r̝,LATIN SMALL LETTER R - COMBINING UP TACK BELOW
F62AFB705D2A2D30BB41CF3FBE917891,x,LATIN SMALL LETTER X
55F94F929CDB58CDE9BE8333787E3A31,ʕ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE
B9C749831BC59B5585B5AE2159F32788,kʼ,LATIN SMALL LETTER K - MODIFIER LETTER APOSTROPHE
E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,LATIN SMALL LETTER N
ECADEF8DC1141DC0002DA207736CC234,ɽ,LATIN SMALL LETTER R WITH TAIL
C74BECEC6C9DBC95D2C92E893F72A8AD,ð,LATIN SMALL LETTER ETH
198E3EBE25854A256D6C67EF286FA260,d̪,LATIN SMALL LETTER D - COMBINING BRIDGE BELOW
9EBF00B0DFB3E7F964B97DB54E9A36FD,ʐ,LATIN SMALL LETTER Z WITH RETROFLEX HOOK
8A61A9B6039DB852CE150BEC6198AFE5,ɛ,LATIN SMALL LETTER OPEN E
35C386C6B0CA2D6E38CD56396F233034,sˤ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
8A2147CEAD6091015AA0965F0B6C2AEB,tˤ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
1AD6D96C35E6ADA62F1EAF5B167F75F7,ɲ,LATIN SMALL LETTER N WITH LEFT HOOK
0844E3AEAF1C8E3837465942B92FE4C5,ʔ,LATIN LETTER GLOTTAL STOP
A6BC925BE30427A4ECE5EB6136535393,pʲ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL J
AE22B011DAF9516E3388AF4E418B00F4,sʲ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL J
FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6,tʲ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL J
92B41E9C14B6FD2564CABDE05D20ED97,z̻,LATIN SMALL LETTER Z - COMBINING SQUARE BELOW
8E32B519FFFA1D3336C36200F8060969,ã,LATIN SMALL LETTER A - COMBINING TILDE
0893FE8A6560A9B5DFA0A58647DB558E,ɛ̃,LATIN SMALL LETTER OPEN E - COMBINING TILDE
06AD3EFFCE1EA6B31D8D6D91B820E116,œ̃,LATIN SMALL LIGATURE OE - COMBINING TILDE
E8929F8B062DC2469EEDA96A98BD8D3A,ɔ̃,LATIN SMALL LETTER OPEN O - COMBINING TILDE
ADF56B8E4119266843033E723A149AE2,j,LATIN SMALL LETTER J
1F0B39C9E43EDAD4E4E4BCEC2A2C955D,bʰ,LATIN SMALL LETTER B - MODIFIER LETTER SMALL H
501394D0E2658752D9DA624E7DEBE14B,w,LATIN SMALL LETTER W
871B92989C5EC420B7D61B05731D1E83,qʰ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL H
4EEF82037BC182F6353941401E583F45,tʰ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL H
192EEEA914E770D60BEC3F86DAED50AA,ɗ,LATIN SMALL LETTER D WITH HOOK
5B46730211D403D44939C20A4D77EACA,ɕ,LATIN SMALL LETTER C WITH CURL
E9F92ED438311DEF47430F2DC3038C22,ɸ,LATIN SMALL LETTER PHI
F98D1F5885EED9A2408A55B509F263BD,tɕ,LATIN SMALL LETTER T - LATIN SMALL LETTER C WITH CURL
F927B77FA49C7A849AEB78FB55268B69,ʑ,LATIN SMALL LETTER Z WITH CURL
A2DFF488C07B9A11B5DF5EA37214750D,β,GREEK SMALL LETTER BETA
4AC7382217172B3821AE54CD38BD8698,q,LATIN SMALL LETTER Q
810FAFE2E381A78E1FFC5AEEB605942B,ɹ̺,LATIN SMALL LETTER TURNED R - COMBINING INVERTED BRIDGE BELOW
4E454EFC24409956D610FB858C201318,hʷ,LATIN SMALL LETTER H - MODIFIER LETTER SMALL W
1883B4EB79FD08129F5AFD246D136228,ɕː,LATIN SMALL LETTER C WITH CURL - MODIFIER LETTER TRIANGULAR COLON
D9B28B2D674EBA4B03C38B36D77E563E,ə,LATIN SMALL LETTER SCHWA
5AE9663626770D1D4B97AAE5769AB83C,m,LATIN SMALL LETTER M
CF50E15F866A7B9698A8F95C5C9B48B2,ɪ,LATIN LETTER SMALL CAPITAL I
10FD223095BD60FD89BEC828E5FD0A26,ʊ,LATIN SMALL LETTER UPSILON
AC7F42D0CB30C73616ABDC71149FEC44,kʷ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL W
6E065D8A2F199BCBC7CA7074EC4DE834,pʰ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL H
4FEA9B23C77E9EA34A6963E4D4FF64BA,rʲ,LATIN SMALL LETTER R - MODIFIER LETTER SMALL J
DF648A2DB863191981CA66654BFF6BF4,õ,LATIN SMALL LETTER O - COMBINING TILDE
6838968A8DAA29313F3FD0EF4CE0AF3C,ɳ,LATIN SMALL LETTER N WITH RETROFLEX HOOK
0F59E77A64C885395DCE59483866178A,ɣʲ,LATIN SMALL LETTER GAMMA - MODIFIER LETTER SMALL J
CFDC3D2764B7C450CAB7DFC1854E8C75,xʲ,LATIN SMALL LETTER X - MODIFIER LETTER SMALL J
1C7F2960BE4EDD840C01C94930F1D932,ʎ,LATIN SMALL LETTER TURNED Y
8DEC1745406483DE6A8030A28A69B646,mb,LATIN SMALL LETTER M - LATIN SMALL LETTER B
6910328C2AAA6011720FA21FFE1665D8,nd,LATIN SMALL LETTER N - LATIN SMALL LETTER D
95A609A900A52E93F9252FD72E8D136F,ŋɡ,LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G
96CDC886AA21A9599A0AC4EFFCDCA13F,kʲ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL J
1F0C89A7E99CD5113AA994AD2CC86CBC,ɬ,LATIN SMALL LETTER L WITH BELT
8AB7F55EAB4F34299B9887A4F4BCF42F,ɮ,LATIN SMALL LETTER LEZH
FF6C523F2A5DD002B5514706570EEE96,ɮʲ,LATIN SMALL LETTER LEZH - MODIFIER LETTER SMALL J
3B4E2188086496B9803EA76F0ADDBC08,pʲʰ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL J - MODIFIER LETTER SMALL H
82D3CEC9D54DFBC7619D0B9EF5F4993E,wʲ,LATIN SMALL LETTER W - MODIFIER LETTER SMALL J
58EB693AE523323410326D60806B9ADF,u,LATIN SMALL LETTER U
852A220443D41F0A63671A2F4DEC9788,c,LATIN SMALL LETTER C
CC1E157E56BC1B4B281FF3ACD292F7DF,xʷ,LATIN SMALL LETTER X - MODIFIER LETTER SMALL W
2F272C9C5FA2DA70706B565B2DC46DE8,aː,LATIN SMALL LETTER A - MODIFIER LETTER TRIANGULAR COLON
7D4AEC4169D5DB682621A0F86C706FC9,ɔː,LATIN SMALL LETTER OPEN O - MODIFIER LETTER TRIANGULAR COLON
1230081C3710A6F95C105998800A8557,qʷʼ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE
F004A6DF8DC34AB3759000D0EEA099AC,qʼ,LATIN SMALL LETTER Q - MODIFIER LETTER APOSTROPHE
26770129337E78245F6006266F845267,χʷ,GREEK SMALL LETTER CHI - MODIFIER LETTER SMALL W
